Time,dS_S,dX_S,dX_BH,dX_BA,dX_P,dS_O,dS_NO,dS_NH,dS_ND,dX_ND,dS_ALK,dS_N2
day,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg O2/l/d,mg N/l/d,mg N/l/d,mg N/l/d,mg N/l/d,eq ALK/l/d,mg N/l/d
0.040791,-34.244908,-2640.064172,1183.283307,23.327178,131.550979,2.695201,57.797672,-260.339203,6.943604,-48.309068,-0.022724,132.245435
0.041041,-34.179199,-2638.445931,1182.085211,23.344686,131.565729,2.706671,57.87226,-259.948169,6.884282,-48.616734,-0.022701,132.247446
0.041291,-34.118609,-2636.784151,1180.861445,23.362088,131.580464,2.718585,57.951132,-259.55747,6.826422,-48.922869,-0.022679,132.244733
0.041542,-34.062914,-2635.079405,1179.612246,23.379386,131.595184,2.730937,58.034234,-259.167065,6.769964,-49.227489,-0.022657,132.237364
0.041792,-34.011909,-2633.332239,1178.337842,23.396584,131.609888,2.743721,58.121513,-258.776917,6.714853,-49.530607,-0.022636,132.225403
0.042042,-33.965397,-2631.543179,1177.038457,23.413685,131.624576,2.756931,58.212919,-258.386988,6.661033,-49.832235,-0.022614,132.208913
0.042292,-33.923193,-2629.712728,1175.714305,23.430692,131.639248,2.770562,58.308401,-257.997243,6.608451,-50.132387,-0.022593,132.187953
0.042543,-33.885122,-2627.841369,1174.365594,23.447606,131.653904,2.784612,58.407913,-257.607648,6.557057,-50.431073,-0.022573,132.162583
0.042793,-33.851019,-2625.929566,1172.992525,23.46443,131.668542,2.799075,58.511408,-257.218171,6.5068,-50.728305,-0.022552,132.132857
0.043043,-33.820726,-2623.977763,1171.595292,23.481166,131.683164,2.813949,58.61884,-256.828779,6.457634,-51.024091,-0.022532,132.09883
0.043293,-33.794096,-2621.986388,1170.174083,23.497817,131.697768,2.829232,58.730167,-256.439442,6.409513,-51.318442,-0.022512,132.060554
0.043544,-33.770986,-2619.955849,1168.72908,23.514383,131.712354,2.84492,58.845346,-256.050131,6.362393,-51.611365,-0.022493,132.018079
0.043794,-33.751264,-2617.886541,1167.260458,23.530867,131.726923,2.861013,58.964335,-255.660819,6.316231,-51.902869,-0.022473,131.971453
0.044044,-33.734802,-2615.778843,1165.768387,23.547271,131.741473,2.877509,59.087095,-255.271478,6.270987,-52.192961,-0.022454,131.920722
0.044294,-33.721478,-2613.633117,1164.25303,23.563595,131.756004,2.894408,59.213586,-254.882081,6.226622,-52.481648,-0.022435,131.865931
